#
# NOTES:
# Roederer 14 have some new abundances I haven't included
#
#Ref  Star  [Fe/H]  [Mg/Fe]  [Eu/Fe]
9 HD115383   0.11    0.04    0.05
9 HD115675   0.02    -0.05    0.03
9 HD116443   -0.48    0.06    0.17
9 HD116956   0.08    -0.11    0.04
9 HD117043   0.21    0.02    -0.07
9 HD119802   -0.05    -0.04    -0.06
9 HD122064   0.07    0.01    0.07
9 HD124642   0.02    -0.12    0.10
9 HD125184   0.31    -0.05    -0.07
9 HD126053   -0.32    0.17    0.06
9 HD127506   -0.08    -0.07    0.08
9 HD128311   0.03    -0.01    0.04
9 HD130307   -0.25    0.08    0.20
9 HD130948   -0.05    0.02    0.07
9 HD131977   -0.24    0.12    0.18
9 HD135599   -0.12    0.00    0.11
9 HD139777   0.01    -0.01    -0.09
9 HD139813   0.00    0.01    0.12
9 HD140538   0.02    -0.02    0.12
9 HD141004   -0.02    0.10    0.11
9 HD141272   -0.06    0.04    0.08
9 HD142267   -0.37    0.10    0.19
9 HD145675   0.32    0.06    -0.03
9 HD146233   0.01    0.04    0.08
9 HD149661   -0.04    0.02    0.03
9 HD149806   0.25    -0.14    -0.08
9 HD151541   -0.22    0.05    0.26
9 HD153525   -0.04    -0.08    0.16
9 HD154345   -0.21    0.07    0.15
9 HD156668   -0.07    0.08    0.05
9 HD156985   -0.18    0.05    0.20
9 HD158633   -0.49    0.17    0.08
9 HD160346   -0.10    -0.01    0.04
9 HD161098   -0.27    0.07    0.26
9 HD164922   0.04    0.08    0.10
9 HD165173   -0.05    0.13    0.09
9 HD165341   -0.08    0.03    0.00
9 HD165908   -0.60    0.16    0.14
9 HD166620   -0.22    0.13    0.16
9 HD171314   0.07    -0.11    0.10
9 HD174080   0.04    -0.07    0.13
9 HD175742   -0.03    -0.12    0.05
9 HD176377   -0.17    0.04    0.14
9 HD176841   0.23    0.07    -0.09
9 HD178428   0.14    -0.06    0.03
9 HD180161   0.18    -0.10    -0.01
9 HD182488   0.07    0.05    -0.03
9 HD183341   -0.01    0.07    0.10
9 HD184385   0.12    -0.07    -0.02
9 HD185144   -0.33    0.01    0.17
9 HD185414   -0.04    0.05    0.04
9 HD186408   0.09    0.09    -0.05
9 HD186427   0.02    0.09    0.02
9 HD189087   -0.12    0.02    0.06
9 HD189733   -0.03    0.02    0.05
9 HD190007   0.16    -0.11    -0.04
9 HD190406   0.05    -0.02    -0.03
9 HD190470   0.11    0.00    0.01
9 HD190771   0.13    -0.07    -0.06
9 HD191533   -0.10    0.03    -0.06
9 HD191785   -0.12    0.31    0.14
9 HD195104   -0.19    0.16    0.03
9 HD197076   -0.17    0.07    0.21
